isn_vinculo;num_ano;num_mes;207;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
296926;2007;3;634.74;-1;-0.026675672463411404;1;0.0004225602523002525;1
296926;2007;4;634.74;-1;-0.09586432800361422;1;0.0001710208406979774;1
296926;2007;5;634.74;-1;-0.09586432800361422;1;0.0001710208406979774;1
296926;2007;6;634.74;-1;-0.09586432800361422;1;0.0001710208406979774;1
296926;2007;7;657.28;1;0.11266780667584264;1;0.014776258937803044;0
296926;2007;8;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2007;9;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2007;10;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2007;11;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2007;12;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2008;1;657.28;1;0.11266780667584264;1;0.014776258937803044;0
296926;2008;2;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2008;3;657.28;1;0.11266780667584264;1;0.014776258937803044;0
296926;2008;4;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2008;5;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2008;6;657.28;1;0.05648719404742686;1;0.05326742451111044;0
296926;2008;7;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2008;8;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2008;9;697.57;1;0.1222585392812745;1;0.009658845942315475;0
296926;2008;10;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2008;11;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2008;12;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2009;1;697.57;1;0.1222585392812745;1;0.009658845942315475;0
296926;2009;2;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2009;3;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2009;4;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2009;5;697.57;1;0.1222585392812745;1;0.009658845942315475;0
296926;2009;6;697.57;1;0.06419695921511426;1;0.03633299098278764;0
296926;2009;7;739.43;1;0.1437506933933586;-1;-0.00019763500562025582;1
296926;2009;8;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2009;9;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2009;10;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2009;11;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2009;12;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2010;1;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2010;2;739.43;1;0.1437506933933586;-1;-0.00019763500562025582;1
296926;2010;3;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2010;4;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2010;5;739.43;1;0.07724917401359521;-1;-3.143044412112772e-05;1
296926;2010;6;739.43;1;0.1437506933933586;-1;-0.00019763500562025582;1
296926;2010;7;775.21;1;0.13698057725775803;1;0.00027723642582827557;0
296926;2010;8;775.21;1;0.001249260597374402;1;0.00032536251741799305;0
296926;2010;9;775.21;1;0.001249260597374402;1;0.00032536251741799305;0
296926;2010;10;775.21;1;0.001249260597374402;1;0.00032536251741799305;0
296926;2010;11;775.21;1;0.13698057725775803;1;0.00027723642582827557;0
296926;2010;12;775.21;1;0.001249260597374402;1;0.00032536251741799305;0
296926;2011;1;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;2;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;3;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;4;813.97;1;0.12654125344002182;1;0.0001324620141422428;0
296926;2011;5;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;6;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;7;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;8;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;9;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;10;813.97;1;0.12654125344002182;1;0.0001324620141422428;0
296926;2011;11;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2011;12;813.97;1;0.08406391538936209;-1;-0.0006099300397317542;1
296926;2012;1;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;2;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;3;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;4;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;5;870.95;1;0.10470660232993645;-1;-0.0003173169243630425;1
296926;2012;6;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;7;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;8;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;9;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;10;870.95;1;0.10470660232993645;-1;-0.0003173169243630425;1
296926;2012;11;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2012;12;870.95;1;0.07399871238856126;-1;-0.00019702456392423073;1
296926;2013;1;919.55;1;0.0704614683605751;1;0.057934577294197265;0
