isn_vinculo;num_ano;num_mes;44;102;185;226;227;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
154365;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.1377988491243457;-1;-0.00019130705653852553;1
154365;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154365;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154365;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154365;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154365;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154365;2010;9;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154365;2010;10;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154365;2010;11;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154365;2010;12;1612.61;0.0;0.0;485.0;0.0;-1;-0.041199242039359874;-1;-0.00015616959093534;2
154366;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.1377988491243457;-1;-0.00019130705653852553;1
154366;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154366;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.3338241308433502;1;0.0039567147621518695;0
154366;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154366;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154366;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154366;2010;9;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154366;2010;10;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154366;2010;11;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154366;2010;12;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154366;2011;1;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154366;2011;2;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154366;2011;3;2257.65;0.0;0.0;0.0;396.08;1;0.005415628229277214;1;0.00012325612860819568;0
154367;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154367;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154367;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154367;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.3338241308433502;1;0.0039567147621518695;0
154367;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154367;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154367;2010;9;895.89;673.6;0.0;0.0;431.11;-1;-0.028244590020092164;1;0.00021694515873516007;1
154368;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154368;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154368;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154368;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154368;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154368;2010;8;895.89;673.6;0.0;0.0;862.21;-1;-0.03068855996590447;-1;-0.00019130725665528203;2
154369;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154369;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154369;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154369;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.3338241308433502;1;0.0039567147621518695;0
154369;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154369;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154369;2010;9;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154369;2010;10;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154369;2010;11;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154369;2010;12;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154369;2011;1;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154369;2011;2;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154369;2011;3;2257.65;0.0;0.0;0.0;396.08;1;0.0;1;0.00021694402722960415;0
154370;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154370;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154370;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154370;2010;6;0.0;385.51;0.0;0.0;0.0;1;0.015193925673009034;1;0.00022402300415669263;0
154371;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154371;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154371;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.3338241308433502;1;0.0039567147621518695;0
154371;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.3338241308433502;1;0.0039567147621518695;0
154371;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154371;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154371;2010;9;895.89;673.6;0.0;0.0;431.11;-1;-0.028244590020092164;1;0.00021694515873516007;1
154372;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154372;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154372;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154372;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154372;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154372;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154372;2010;9;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154372;2010;10;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154372;2010;11;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154372;2010;12;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154372;2011;1;0.0;0.0;0.0;1697.48;0.0;1;0.1605500313797691;1;0.0002593584917456315;0
154372;2011;2;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154372;2011;3;2257.65;0.0;0.0;0.0;396.08;1;0.0;1;0.00021694402722960415;0
154373;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.15134078520512106;1;0.0002480606011712183;0
154373;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154373;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154373;2010;6;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154373;2010;7;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154373;2010;8;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154373;2010;9;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154373;2010;10;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154373;2010;11;0.0;0.0;0.0;1616.65;0.0;1;0.39326395622028926;1;0.003060523847800145;0
154373;2010;12;0.0;0.0;0.0;1616.65;0.0;1;0.33651571698051186;1;0.00780137476363818;0
154373;2011;1;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154373;2011;2;0.0;0.0;0.0;1697.48;0.0;1;0.20590789265379394;-1;-0.0004338985908908244;1
154373;2011;3;2257.65;0.0;0.0;0.0;396.08;1;0.0;1;0.00021694402722960415;0
154374;2010;3;0.0;0.0;115.2;1182.22;0.0;1;0.1377988491243457;-1;-0.00019130705653852553;1
154374;2010;4;0.0;0.0;120.96;1542.02;0.0;1;0.1936329946390386;-1;-0.0005639805377929408;1
154374;2010;5;0.0;0.0;0.0;1542.02;0.0;1;0.27459014267453347;1;0.009485718756762518;0
154374;2010;6;0.0;385.51;0.0;0.0;0.0;1;0.015193925673009034;1;0.00022402300415669263;0
