isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
11372;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19515103795105898;1;0.20404629229084748;0
11372;2007;4;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19515103795105898;1;0.20404629229084748;0
11372;2007;5;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19515103795105898;1;0.20404629229084748;0
11372;2007;6;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19515103795105898;1;0.20404629229084748;0
11372;2007;7;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2007;8;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2007;9;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2007;10;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2007;11;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2043831154806527;1;0.05728612464690386;0
11372;2007;12;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2008;1;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2008;2;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2008;3;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2008;4;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19459681903057968;1;0.2295562882094373;0
11372;2008;5;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2043831154806527;1;0.05728612464690386;0
11372;2008;6;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2043831154806527;1;0.05728612464690386;0
11372;2008;7;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
11372;2008;8;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20045340105151255;1;0.08099780602912077;0
11372;2008;9;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
11372;2008;10;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20045340105151255;1;0.08099780602912077;0
11372;2008;11;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
11372;2008;12;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
11372;2009;1;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
11372;2009;2;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20045340105151255;1;0.08099780602912077;0
11372;2009;3;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18350285782987658;1;0.3107682092689714;0
