isn_vinculo;num_ano;num_mes;169;171;293;294;324;346;1368;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
129726;2007;12;219.89;219.89;0.0;0.0;0.0;0.0;0.0;1;0.052532275003210116;1;0.041813135355183384;0
129726;2008;1;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
129726;2008;2;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
129726;2008;3;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.20477075587332721;1;0.10875521001744648;0
129726;2008;4;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
129726;2008;5;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
129726;2008;6;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
129726;2008;7;0.0;233.37;0.0;0.0;0.0;0.0;0.0;1;0.20464324215841828;1;0.5929453545612198;0
129726;2008;8;0.0;233.37;0.0;0.0;0.0;0.0;0.0;1;0.21251003262348145;1;0.08325203400157655;0
129726;2008;9;0.0;233.37;0.0;0.0;0.0;0.0;0.0;1;0.20464324215841828;1;0.5929453545612198;0
129726;2008;10;0.0;233.37;0.0;0.0;0.0;0.0;0.0;1;0.20464324215841828;1;0.5929453545612198;0
157365;2008;9;431.21;431.21;0.0;0.0;0.0;0.0;0.0;-1;-0.07294963243028796;-1;-0.721381869669468;2
157365;2008;10;0.0;431.21;0.0;0.0;0.0;0.0;0.0;1;0.18641310961633667;1;0.12631969507495722;0
157365;2008;11;0.0;431.21;0.0;0.0;0.0;0.0;0.0;1;0.17708118716029453;1;0.9316372528450003;0
161572;2007;3;0.0;274.68;0.0;0.0;0.0;0.0;0.0;1;0.21142804906172652;1;0.0219293958721396;0
161576;2007;3;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161576;2007;4;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161576;2007;5;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.199741323134197;1;0.06460957861800232;0
161576;2007;6;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161576;2007;7;0.0;406.3;0.0;0.0;0.0;0.0;0.0;1;0.1920364445087473;1;0.0864518130881935;0
161585;2007;3;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161585;2007;4;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161585;2007;5;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.1878703020209187;1;0.8145120827684273;0
161720;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.19736734527642347;1;0.12359366094001434;0
161720;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161723;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161723;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161726;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161726;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161729;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161729;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1615855407188641;1;0.2149261596514993;0
161732;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.19736734527642347;1;0.12359366094001434;0
161732;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161735;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.19736734527642347;1;0.12359366094001434;0
161735;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161738;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161738;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1482928557797233;1;0.6011234421786789;0
161741;2007;4;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.19736734527642347;1;0.12359366094001434;0
161741;2007;5;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161744;2007;4;212.35;212.35;0.0;0.0;0.0;0.0;0.0;1;0.05268168029891873;1;0.06517115229025805;0
161744;2007;5;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1918560648431905;1;0.6139959876496022;0
161747;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19629253547423364;1;0.6069749548362147;0
161747;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.1255727795277624;1;2.3564886061582513;0
