isn_vinculo;num_ano;num_mes;8;13;15;18;39;207;IF_label;IF_score;anomalo
12192;2007;3;0.0;0.0;140.47;140.47;439.56;351.18;1;0.06039263671375927;0
259352;2007;3;406.54;609.81;60.98;0.0;0.0;0.0;1;0.050489375560421546;0
12192;2007;4;0.0;0.0;140.47;140.47;439.56;351.18;1;0.06039263671375927;0
259352;2007;4;406.54;609.81;60.98;0.0;0.0;0.0;1;0.050489375560421546;0
12192;2007;5;0.0;0.0;140.47;140.47;439.56;351.18;1;0.06039263671375927;0
259352;2007;5;406.54;609.81;60.98;0.0;0.0;0.0;1;0.050489375560421546;0
12192;2007;6;0.0;0.0;140.47;140.47;439.56;351.18;1;0.06039263671375927;0
259352;2007;6;406.54;609.81;60.98;0.0;0.0;0.0;1;0.050489375560421546;0
12192;2007;7;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;7;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2007;8;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;8;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2007;9;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;9;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2007;10;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;10;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2007;11;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;11;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2007;12;0.0;0.0;145.46;145.46;455.16;363.65;1;0.1114282829472516;0
259352;2007;12;420.97;631.46;63.15;0.0;0.0;0.0;1;0.08664503808762836;0
12192;2008;1;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;1;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;2;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;2;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;3;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;3;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;4;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;4;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;5;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;5;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;6;0.0;0.0;145.46;145.46;455.16;363.65;1;0.08592036162130323;0
259352;2008;6;420.97;631.46;63.15;0.0;0.0;0.0;1;0.0933622426065911;0
12192;2008;7;0.0;0.0;154.38;154.38;483.07;385.94;-1;-0.031951949524804735;1
259352;2008;7;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
12192;2008;8;0.0;0.0;154.38;154.38;483.07;385.94;-1;-0.031951949524804735;1
259352;2008;8;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
259352;2008;9;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
259352;2008;10;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
259352;2008;11;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
259352;2008;12;446.78;670.17;67.02;0.0;0.0;0.0;1;0.09716323907074775;0
259352;2009;1;446.78;670.17;67.02;0.0;0.0;0.0;1;0.12841320425496838;0
259352;2009;2;446.78;670.17;67.02;0.0;0.0;0.0;1;0.12841320425496838;0
259352;2009;3;446.78;670.17;67.02;0.0;0.0;0.0;1;0.12841320425496838;0
