isn_vinculo;num_ano;num_mes;44;102;185;226;227;IF_label;IF_score;anomalo
154379;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154380;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154381;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154382;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154383;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154384;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154385;2010;3;0.0;0.0;115.2;565.87;0.0;1;0.07140891801093219;0
154379;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154380;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154381;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154382;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154383;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154384;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154385;2010;4;0.0;0.0;120.96;1061.0;0.0;1;0.10605942483611652;0
154379;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154380;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154381;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154382;2010;5;0.0;265.25;0.0;1061.0;0.0;-1;-0.08727756645780615;1
154383;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154384;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154385;2010;5;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154379;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154380;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154381;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154383;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154384;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154385;2010;6;0.0;0.0;0.0;1061.0;0.0;1;0.205040070467229;0
154379;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154380;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154381;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154384;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154385;2010;7;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154379;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154380;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154381;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154384;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154385;2010;8;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154379;2010;9;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154380;2010;9;739.71;556.18;0.0;0.0;556.18;-1;-0.14515546791154166;1
154381;2010;9;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;9;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154384;2010;9;739.71;558.18;0.0;0.0;556.18;-1;-0.14515546791154166;1
154385;2010;9;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154379;2010;10;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154381;2010;10;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;10;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154385;2010;10;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154379;2010;11;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154381;2010;11;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;11;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154385;2010;11;986.28;741.57;0.0;0.0;0.0;-1;-0.11229694401677592;1
154379;2010;12;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154381;2010;12;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154383;2010;12;0.0;0.0;0.0;1112.35;0.0;1;0.23248436567268627;0
154379;2011;1;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154381;2011;1;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154383;2011;1;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154379;2011;2;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154381;2011;2;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154383;2011;2;0.0;0.0;0.0;1167.97;0.0;1;0.18618309053961035;0
154379;2011;3;1553.4;0.0;0.0;0.0;545.05;1;0.04735934397118979;0
154381;2011;3;1553.4;0.0;0.0;0.0;545.05;1;0.04735934397118979;0
154383;2011;3;1553.4;0.0;0.0;0.0;545.05;1;0.04735934397118979;0
