isn_vinculo;num_ano;num_mes;8;15;39;97;207;324;1367;1369;IF_label;IF_score;anomalo
296961;2007;3;2307.28;922.91;6808.38;0.0;0.0;0.0;0.0;0.0;1;0.20979390672092674;0
331571;2007;3;0.0;484.53;0.0;0.0;3230.19;0.0;0.0;0.0;1;0.17284734006926017;0
296961;2007;4;2307.28;922.91;6808.38;0.0;0.0;0.0;0.0;0.0;1;0.20979390672092674;0
331571;2007;4;0.0;484.53;0.0;0.0;3230.19;0.0;0.0;0.0;1;0.17284734006926017;0
296961;2007;5;2307.28;922.91;6808.38;0.0;0.0;0.0;0.0;0.0;1;0.20979390672092674;0
331571;2007;5;0.0;484.53;0.0;0.0;3230.19;0.0;0.0;0.0;1;0.17284734006926017;0
296961;2007;6;2307.28;922.91;6808.38;0.0;0.0;0.0;0.0;0.0;1;0.20979390672092674;0
331571;2007;6;0.0;484.53;0.0;0.0;3230.19;0.0;0.0;0.0;1;0.17284734006926017;0
296961;2007;7;2389.19;955.68;7050.08;0.0;0.0;0.0;0.0;0.0;1;0.21552855114653996;0
331571;2007;7;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
296961;2007;8;2389.19;955.68;7050.08;0.0;0.0;335.1;0.0;0.0;1;0.06703521574544258;0
331571;2007;8;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
296961;2007;9;2389.19;955.68;7050.08;0.0;0.0;0.0;0.0;0.0;1;0.21552855114653996;0
331571;2007;9;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
296961;2007;10;2389.19;955.68;7050.08;0.0;0.0;0.0;0.0;0.0;1;0.21552855114653996;0
331571;2007;10;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
296961;2007;11;2389.19;955.68;7050.08;0.0;0.0;0.0;0.0;0.0;1;0.21552855114653996;0
331571;2007;11;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
296961;2007;12;2389.19;955.68;7050.08;0.0;0.0;0.0;0.0;0.0;1;0.21552855114653996;0
331571;2007;12;0.0;501.73;0.0;0.0;3344.87;0.0;0.0;0.0;1;0.18306281305741862;0
