isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;anomalo
11372;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21235031279904937;0
18789;2007;3;0.0;0.0;0.0;0.0;0.0;849.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21310413172519282;0
19014;2007;3;0.0;0.0;0.0;0.0;0.0;2411.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1847243301326647;0
56077;2007;3;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07187621354613305;0
56079;2007;3;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07187621354613305;0
75818;2007;3;0.0;0.0;0.0;0.0;0.0;510.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21669947083336255;0
140919;2007;3;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14742446850510388;0
172770;2007;3;0.0;0.0;0.0;0.0;0.0;2945.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.17280416045877556;0
172878;2007;3;0.0;0.0;0.0;0.0;0.0;2638.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1797567921240784;0
172929;2007;3;0.0;0.0;0.0;0.0;0.0;1853.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20006751366809672;0
173195;2007;3;0.0;0.0;0.0;0.0;0.0;1331.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20724606670300766;0
173229;2007;3;0.0;0.0;0.0;0.0;0.0;590.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21755607352131973;0
173263;2007;3;0.0;0.0;0.0;0.0;0.0;715.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.216500086780959;0
173268;2007;3;0.0;0.0;0.0;0.0;0.0;491.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2135123491800076;0
173303;2007;3;0.0;0.0;0.0;0.0;0.0;567.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2176760608292888;0
173507;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21235031279904937;0
174013;2007;3;0.0;0.0;0.0;0.0;0.0;704.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.216500086780959;0
174165;2007;3;0.0;0.0;0.0;0.0;0.0;3585.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15831940647411236;0
174256;2007;3;0.0;0.0;0.0;0.0;0.0;863.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21234799826572565;0
174275;2007;3;0.0;0.0;0.0;0.0;0.0;1060.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21085439636082176;0
174301;2007;3;0.0;0.0;0.0;0.0;0.0;548.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21749579690799525;0
174304;2007;3;0.0;0.0;0.0;0.0;0.0;1711.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20425557058638344;0
174305;2007;3;0.0;0.0;0.0;0.0;0.0;1711.61;0.0;200.0;0.0;0.0;0.0;0.0;0.0;1;0.00253961870835262;0
174494;2007;3;0.0;0.0;0.0;0.0;0.0;1810.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2029980929706297;0
174528;2007;3;0.0;0.0;0.0;0.0;0.0;473.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2125875634859567;0
176708;2007;3;0.0;0.0;0.0;0.0;0.0;1414.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2068184787239178;0
296972;2007;3;0.0;0.0;0.0;0.0;0.0;552.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2179682602607797;0
296985;2007;3;0.0;0.0;0.0;0.0;0.0;796.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2145220855131404;0
296993;2007;3;0.0;0.0;0.0;0.0;0.0;670.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21720174596527853;0
297094;2007;3;0.0;0.0;0.0;0.0;0.0;445.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21213677877647413;0
297204;2007;3;0.0;0.0;0.0;0.0;0.0;501.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21477260965232925;0
297441;2007;3;0.0;0.0;0.0;0.0;0.0;626.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21742579834684234;0
297611;2007;3;0.0;0.0;0.0;0.0;0.0;300.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20517849938016136;0
305833;2007;3;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14742446850510388;0
