isn_vinculo;num_ano;num_mes;94;97;101;140;204;302;303;316;317;1236;1367;1369;IF_label;IF_score;anomalo
14097;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.02119393270390424;0
14184;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.03399909670871726;0
17170;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;739.95;0.0;0.0;0.0;0.0;1;0.05195854015930357;0
17695;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1;0.047278388125366666;0
18427;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463.7;0.0;0.0;0.0;0.0;1;0.05997249831770579;0
18687;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;733.33;733.33;0.0;0.0;0.0;1;0.009964014642916852;0
130706;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2596.92;0.0;0.0;0.0;0.0;1;0.0034788042455438095;0
130920;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;365.22;0.0;0.0;0.0;0.0;1;0.059494169803596675;0
140996;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;808.67;0.0;0.0;0.0;0.0;1;0.05079948432896675;0
140998;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1940.9;0.0;0.0;0.0;0.0;1;0.019627284939468526;0
167223;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.05457256628101259;0
167224;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;271.03;0.0;0.0;0.0;0.0;1;0.05457256628101259;0
167298;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.21;0.0;0.0;0.0;0.0;1;0.05886254437575328;0
167426;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3366.83;0.0;0.0;0.0;0.0;-1;-0.02466395757170592;1
296906;2007;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.28;0.0;0.0;0.0;0.0;1;0.06030616837128039;0
296991;2007;3;0.0;0.0;0.0;0.0;0.0;528.96;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0013090505970619892;0
297006;2007;3;0.0;0.0;0.0;0.0;0.0;850.3;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.010213455594640375;1
297083;2007;3;0.0;0.0;0.0;0.0;0.0;826.29;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.006751724204946519;1
297612;2007;3;0.0;0.0;0.0;0.0;0.0;150.16;0.0;0.0;0.0;0.0;0.0;0.0;1;0.030260004494712556;0
14097;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1802.06;0.0;0.0;0.0;0.0;1;0.02119393270390424;0
14184;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1281.65;0.0;0.0;0.0;0.0;1;0.03399909670871726;0
17170;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;394.64;0.0;0.0;0.0;0.0;1;0.06017185454001189;0
17695;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;880.09;0.0;0.0;0.0;0.0;1;0.047278388125366666;0
18427;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;463.7;0.0;0.0;0.0;0.0;1;0.05997249831770579;0
18687;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;733.33;0.0;0.0;0.0;0.0;1;0.05212811401435824;0
130706;2007;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2596.92;0.0;0.0;0.0;0.0;1;0.0034788042455438095;0
