isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;anomalo
12898;2007;3;0.0;406.54;1;0.18898823880481275;0
20321;2007;3;0.0;95.21;1;0.20980781457077752;0
73309;2007;3;0.0;312.14;1;0.2028901234695753;0
127853;2007;3;681.78;681.78;-1;-0.15359347978106153;1
141000;2007;3;0.0;112.58;1;0.21497821034647197;0
167040;2007;3;0.0;2865.69;1;0.03765750550778113;0
167243;2007;3;0.0;3838.32;-1;-0.06319510534757611;1
167321;2007;3;0.0;673.05;1;0.16464525831094468;0
172915;2007;3;0.0;286.14;1;0.20759060993327172;0
173352;2007;3;0.0;285.67;1;0.20759060993327172;0
175041;2007;3;0.0;65.27;1;0.20937921057927456;0
175043;2007;3;0.0;178.51;1;0.21734981709544643;0
175502;2007;3;0.0;226.91;1;0.21534493907405156;0
175970;2007;3;0.0;134.94;1;0.2190102801742802;0
177065;2007;3;0.0;443.98;1;0.18298668906631055;0
177356;2007;3;0.0;306.48;1;0.20405247919343544;0
218731;2007;3;0.0;286.69;1;0.2068960724485589;0
264732;2007;3;0.0;126.14;1;0.2175193756279274;0
296900;2007;3;0.0;1704.47;1;0.11291712708419216;0
296979;2007;3;0.0;142.81;1;0.21817723994891408;0
296999;2007;3;0.0;290.92;1;0.2072685188961782;0
305944;2007;3;0.0;684.62;1;0.1662249874711505;0
312118;2007;3;0.0;235.47;1;0.21566524377399932;0
312125;2007;3;0.0;281.13;1;0.20923727339805814;0
320454;2007;3;0.0;206.18;1;0.21357821034775748;0
331355;2007;3;0.0;1110.0;1;0.1472762309220283;0
331390;2007;3;0.0;136.0;1;0.2192306913337469;0
331429;2007;3;0.0;673.05;1;0.16464525831094468;0
12898;2007;4;0.0;406.54;1;0.18898823880481275;0
20321;2007;4;0.0;95.21;1;0.20980781457077752;0
73309;2007;4;0.0;312.14;1;0.2028901234695753;0
127853;2007;4;0.0;681.78;1;0.16569316414425028;0
141000;2007;4;0.0;112.58;1;0.21497821034647197;0
167040;2007;4;0.0;2865.69;1;0.03765750550778113;0
167243;2007;4;0.0;3838.32;-1;-0.06319510534757611;1
167321;2007;4;0.0;673.05;1;0.16464525831094468;0
172915;2007;4;0.0;286.14;1;0.20759060993327172;0
173352;2007;4;0.0;285.67;1;0.20759060993327172;0
175041;2007;4;0.0;65.27;1;0.20937921057927456;0
175043;2007;4;0.0;178.51;1;0.21734981709544643;0
175502;2007;4;0.0;226.91;1;0.21534493907405156;0
175970;2007;4;0.0;134.94;1;0.2190102801742802;0
177065;2007;4;0.0;443.98;1;0.18298668906631055;0
177356;2007;4;0.0;306.48;1;0.20405247919343544;0
218731;2007;4;0.0;286.69;1;0.2068960724485589;0
264732;2007;4;0.0;126.14;1;0.2175193756279274;0
296900;2007;4;0.0;1704.47;1;0.11291712708419216;0
296979;2007;4;0.0;142.81;1;0.21817723994891408;0
296999;2007;4;0.0;290.92;1;0.2072685188961782;0
305944;2007;4;0.0;684.62;1;0.1662249874711505;0
312118;2007;4;0.0;235.47;1;0.21566524377399932;0
312125;2007;4;0.0;281.13;1;0.20923727339805814;0
320454;2007;4;0.0;206.18;1;0.21357821034775748;0
331355;2007;4;0.0;1110.0;1;0.1472762309220283;0
331390;2007;4;0.0;136.0;1;0.2192306913337469;0
331429;2007;4;0.0;673.05;1;0.16464525831094468;0
12898;2007;5;0.0;406.54;1;0.18898823880481275;0
20321;2007;5;0.0;95.21;1;0.20980781457077752;0
73309;2007;5;0.0;312.14;1;0.2028901234695753;0
127853;2007;5;0.0;681.78;1;0.16569316414425028;0
141000;2007;5;0.0;112.58;1;0.21497821034647197;0
167040;2007;5;0.0;2865.69;1;0.03765750550778113;0
167243;2007;5;0.0;3838.32;-1;-0.06319510534757611;1
167321;2007;5;0.0;673.05;1;0.16464525831094468;0
172915;2007;5;0.0;286.14;1;0.20759060993327172;0
173352;2007;5;0.0;285.67;1;0.20759060993327172;0
175041;2007;5;0.0;65.27;1;0.20937921057927456;0
175043;2007;5;0.0;178.51;1;0.21734981709544643;0
175502;2007;5;0.0;226.91;1;0.21534493907405156;0
175970;2007;5;0.0;134.94;1;0.2190102801742802;0
177065;2007;5;0.0;443.98;1;0.18298668906631055;0
177356;2007;5;0.0;306.48;1;0.20405247919343544;0
218731;2007;5;0.0;286.69;1;0.2068960724485589;0
264732;2007;5;0.0;126.14;1;0.2175193756279274;0
296900;2007;5;0.0;1704.47;1;0.11291712708419216;0
296979;2007;5;0.0;142.81;1;0.21817723994891408;0
296999;2007;5;0.0;290.92;1;0.2072685188961782;0
305944;2007;5;0.0;684.62;1;0.1662249874711505;0
312118;2007;5;0.0;235.47;1;0.21566524377399932;0
312125;2007;5;0.0;281.13;1;0.20923727339805814;0
320454;2007;5;0.0;206.18;1;0.21357821034775748;0
331355;2007;5;0.0;1110.0;1;0.1472762309220283;0
331390;2007;5;0.0;136.0;1;0.2192306913337469;0
331429;2007;5;0.0;673.05;1;0.16464525831094468;0
12898;2007;6;0.0;406.54;1;0.18898823880481275;0
20321;2007;6;0.0;95.21;1;0.20980781457077752;0
73309;2007;6;0.0;312.14;1;0.2028901234695753;0
127853;2007;6;0.0;681.78;1;0.16569316414425028;0
141000;2007;6;0.0;112.58;1;0.21497821034647197;0
167040;2007;6;0.0;2865.69;1;0.03765750550778113;0
167243;2007;6;0.0;3838.32;-1;-0.06319510534757611;1
167321;2007;6;0.0;673.05;1;0.16464525831094468;0
172915;2007;6;0.0;286.14;1;0.20759060993327172;0
173352;2007;6;0.0;285.67;1;0.20759060993327172;0
175041;2007;6;0.0;65.27;1;0.20937921057927456;0
175043;2007;6;0.0;178.51;1;0.21734981709544643;0
175502;2007;6;0.0;226.91;1;0.21534493907405156;0
175970;2007;6;0.0;134.94;1;0.2190102801742802;0
177065;2007;6;0.0;443.98;1;0.18298668906631055;0
177356;2007;6;0.0;306.48;1;0.20405247919343544;0
218731;2007;6;0.0;286.69;1;0.2068960724485589;0
264732;2007;6;0.0;126.14;1;0.2175193756279274;0
296900;2007;6;0.0;1704.47;1;0.11291712708419216;0
296979;2007;6;0.0;142.81;1;0.21817723994891408;0
296999;2007;6;0.0;290.92;1;0.2072685188961782;0
305944;2007;6;0.0;684.62;1;0.1662249874711505;0
312118;2007;6;0.0;235.47;1;0.21566524377399932;0
312125;2007;6;0.0;281.13;1;0.20923727339805814;0
320454;2007;6;0.0;206.18;1;0.21357821034775748;0
331355;2007;6;0.0;1110.0;1;0.1472762309220283;0
331390;2007;6;0.0;136.0;1;0.2192306913337469;0
331429;2007;6;0.0;673.05;1;0.16464525831094468;0
12898;2007;7;0.0;420.97;1;0.187261048084143;0
20321;2007;7;0.0;98.59;1;0.21121244253838622;0
73309;2007;7;0.0;323.22;1;0.201954671054627;0
127853;2007;7;0.0;705.98;1;0.16420692850956908;0
141000;2007;7;0.0;116.58;1;0.2161407665850708;0
167040;2007;7;0.0;2967.42;1;0.030390453412707297;0
167243;2007;7;0.0;3974.58;-1;-0.07286347664727788;1
167321;2007;7;0.0;696.94;1;0.16633256085885822;0
172915;2007;7;0.0;296.3;1;0.2062126821923161;0
173352;2007;7;0.0;295.81;1;0.2062126821923161;0
175041;2007;7;0.0;67.59;1;0.2097912265678355;0
175043;2007;7;0.0;184.85;1;0.21672153307578174;0
175502;2007;7;0.0;234.97;1;0.2157916238212494;0
175970;2007;7;0.0;139.73;1;0.21864775812202902;0
177065;2007;7;0.0;459.74;1;0.18163517043625904;0
177356;2007;7;0.0;317.36;1;0.2020856885103679;0
218731;2007;7;0.0;296.87;1;0.20680472787436005;0
264732;2007;7;0.0;130.62;1;0.2184241276405327;0
296900;2007;7;0.0;1764.98;1;0.09862345537338457;0
296979;2007;7;0.0;147.88;1;0.21878601124556485;0
296999;2007;7;0.0;301.25;1;0.20631051558724478;0
305944;2007;7;0.0;708.92;1;0.1636299598924595;0
312118;2007;7;0.0;243.83;1;0.21421665361943804;0
312125;2007;7;0.0;291.11;1;0.2072685188961782;0
320454;2007;7;0.0;213.5;1;0.21431842115879718;0
331355;2007;7;0.0;1149.41;1;0.151883986976053;0
331390;2007;7;0.0;140.83;1;0.21834925152511542;0
331429;2007;7;0.0;696.94;1;0.16633256085885822;0
12898;2007;8;0.0;420.97;1;0.187261048084143;0
20321;2007;8;0.0;98.59;1;0.21121244253838622;0
73309;2007;8;0.0;323.22;1;0.201954671054627;0
127853;2007;8;0.0;705.98;1;0.16420692850956908;0
141000;2007;8;0.0;120.72;1;0.2161754336783508;0
167040;2007;8;0.0;2967.42;1;0.030390453412707297;0
167243;2007;8;0.0;3974.58;-1;-0.07286347664727788;1
167321;2007;8;0.0;696.94;1;0.16633256085885822;0
172915;2007;8;0.0;296.3;1;0.2062126821923161;0
173352;2007;8;0.0;295.81;1;0.2062126821923161;0
175041;2007;8;0.0;67.59;1;0.2097912265678355;0
175043;2007;8;0.0;184.85;1;0.21672153307578174;0
175502;2007;8;0.0;234.97;1;0.2157916238212494;0
175970;2007;8;0.0;139.73;1;0.21864775812202902;0
177065;2007;8;0.0;459.74;1;0.18163517043625904;0
177356;2007;8;0.0;317.36;1;0.2020856885103679;0
218731;2007;8;0.0;296.87;1;0.20680472787436005;0
264732;2007;8;0.0;130.62;1;0.2184241276405327;0
296900;2007;8;0.0;1764.98;1;0.09862345537338457;0
296979;2007;8;0.0;147.88;1;0.21878601124556485;0
296999;2007;8;0.0;301.25;1;0.20631051558724478;0
