isn_vinculo;num_ano;num_mes;169;171;293;294;324;346;1368;IF_label;IF_score;anomalo
161572;2007;3;0.0;274.68;0.0;0.0;0.0;0.0;0.0;1;0.1641410394588798;0
161576;2007;3;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161585;2007;3;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161720;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161723;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161726;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161729;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161732;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161735;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161738;2007;3;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161576;2007;4;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161585;2007;4;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161720;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161723;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161726;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161729;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161732;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161735;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161738;2007;4;0.0;162.84;0.0;0.0;0.0;0.0;0.0;1;0.1429090229142178;0
161741;2007;4;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161744;2007;4;212.35;212.35;0.0;0.0;0.0;0.0;0.0;1;0.03041435249777369;0
161576;2007;5;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161585;2007;5;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161741;2007;5;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161744;2007;5;0.0;212.35;0.0;0.0;0.0;0.0;0.0;1;0.1965025299884965;0
161576;2007;6;0.0;392.37;0.0;0.0;0.0;0.0;0.0;1;0.09927728197020663;0
161576;2007;7;0.0;406.3;0.0;0.0;0.0;0.0;0.0;1;0.0953349611392435;0
161747;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161749;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161751;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161753;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161755;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161757;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161759;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161761;2007;7;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161747;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161749;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161751;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161753;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161755;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161757;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161759;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161761;2007;8;42.47;219.89;0.0;0.0;0.0;0.0;0.0;1;0.17865456263774493;0
161747;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161749;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161751;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161753;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161755;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161757;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
161759;2007;9;0.0;219.89;0.0;0.0;0.0;0.0;0.0;1;0.19733234439034647;0
