isn_vinculo;num_ano;num_mes;8;10;11;15;19;21;39;51;52;54;86;94;97;102;140;165;207;1352;1367;1369;1404;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
174232;2007;3;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;-1;-0.005601205223185968;1;0.1894057573361172;1
198100;2007;3;0.0;0.0;0.0;369.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1056.99;0.0;0.0;0.0;0.0;1;0.10062486411087118;-1;-1.3022840821719228e-05;1
297142;2007;3;0.0;8727.44;0.0;2262.67;1604.04;0.0;2663.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.06766787631771798;1;0.5258991510415987;0
297169;2007;3;0.0;6156.96;0.0;1420.84;1175.13;0.0;1363.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.041420039692574795;1;0.48167898458818925;0
174232;2007;4;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;-1;-0.005601205223185968;1;0.1894057573361172;1
198100;2007;4;0.0;0.0;0.0;369.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1056.99;0.0;0.0;0.0;0.0;1;0.10062486411087118;-1;-1.3022840821719228e-05;1
297142;2007;4;0.0;8727.44;0.0;2262.67;1604.04;0.0;2663.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.06766787631771798;1;0.5258991510415987;0
297169;2007;4;0.0;6156.96;0.0;1420.84;1175.13;0.0;1363.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.041420039692574795;1;0.48167898458818925;0
174232;2007;5;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;-1;-0.005601205223185968;1;0.1894057573361172;1
198100;2007;5;0.0;0.0;0.0;369.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1056.99;0.0;0.0;0.0;0.0;1;0.10062486411087118;-1;-1.3022840821719228e-05;1
297142;2007;5;0.0;8727.44;0.0;2262.67;1604.04;0.0;2663.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.06766787631771798;1;0.5258991510415987;0
297169;2007;5;0.0;6156.96;0.0;1420.84;1175.13;0.0;1363.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.041420039692574795;1;0.48167898458818925;0
174232;2007;6;0.0;0.0;301.51;502.02;0.0;0.0;0.0;0.0;301.51;0.0;0.0;0.0;0.0;0.0;0.0;118.59;1507.56;0.0;0.0;0.0;0.0;-1;-0.005601205223185968;1;0.1894057573361172;1
198100;2007;6;0.0;0.0;0.0;369.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1056.99;0.0;0.0;0.0;0.0;1;0.10062486411087118;-1;-1.3022840821719228e-05;1
297142;2007;6;0.0;8727.44;0.0;2262.67;1604.04;0.0;2663.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.06766787631771798;1;0.5258991510415987;0
297169;2007;6;0.0;6156.96;0.0;1420.84;1175.13;0.0;1363.58;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2197.41;0.0;0.0;0.0;0.0;1;0.041420039692574795;1;0.48167898458818925;0
174232;2007;7;0.0;0.0;312.22;519.84;0.0;0.0;0.0;0.0;312.22;0.0;0.0;0.0;0.0;0.0;0.0;122.8;1561.09;0.0;0.0;0.0;0.0;1;0.06072935333253593;1;0.2019153747798299;0
198100;2007;7;0.0;0.0;0.0;383.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1094.51;0.0;0.0;0.0;0.0;1;0.13500069671669068;1;0.006808962999556023;0
297142;2007;7;0.0;9037.28;0.0;2343.0;1660.99;0.0;2757.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2275.42;0.0;0.0;0.0;0.0;1;0.10514911996266257;1;0.5243518386007224;0
