isn_vinculo;num_ano;num_mes;44;185;226;227;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
154404;2010;3;0.0;115.2;1130.81;0.0;1;0.0;-1;-0.00014501501013375329;1
154405;2010;3;0.0;115.2;1130.81;0.0;1;0.0;-1;-0.00014501501013375329;1
154406;2010;3;0.0;115.2;1130.81;0.0;1;0.0;-1;-0.00014501501013375329;1
154404;2010;4;0.0;120.96;1542.02;0.0;1;0.04723449717050365;1;0.0001734626686696883;0
154405;2010;4;0.0;120.96;1542.02;0.0;1;0.04723449717050365;1;0.0001734626686696883;0
154406;2010;4;0.0;120.96;1542.02;0.0;1;0.04723449717050365;1;0.0001734626686696883;0
154404;2010;5;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154405;2010;5;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154406;2010;5;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154404;2010;6;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154405;2010;6;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154406;2010;6;0.0;0.0;1542.02;0.0;1;0.189059237713896;-1;-5.689968324706918e-05;1
154404;2010;7;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;7;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;7;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2010;8;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;8;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;8;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2010;9;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;9;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;9;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2010;10;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;10;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;10;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2010;11;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;11;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;11;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2010;12;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154405;2010;12;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154406;2010;12;0.0;0.0;1616.65;0.0;1;0.3202276737419708;1;0.013283179994151184;0
154404;2011;1;0.0;0.0;1697.48;0.0;-1;-0.027403664811735506;1;0.00017345163808180075;1
154405;2011;1;0.0;0.0;1697.48;0.0;1;0.13187618940637152;1;2.6498231386895554e-10;0
154406;2011;1;0.0;0.0;1697.48;0.0;1;0.13187618940637152;1;2.6498231386895554e-10;0
154404;2011;2;0.0;0.0;1697.48;0.0;1;0.13187618940637152;1;2.6498231386895554e-10;0
154405;2011;2;0.0;0.0;1697.48;0.0;1;0.13187618940637152;1;2.6498231386895554e-10;0
154406;2011;2;0.0;0.0;1697.48;0.0;1;0.13187618940637152;1;2.6498231386895554e-10;0
154404;2011;3;2257.65;0.0;0.0;452.66;1;0.0;1;2.6498231386895554e-10;0
154405;2011;3;2257.65;0.0;0.0;452.66;1;0.0;1;2.6498231386895554e-10;0
154406;2011;3;2257.65;0.0;0.0;452.66;1;0.0;1;2.6498231386895554e-10;0
