isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
147818;2007;3;0.0;525.0;0.0;0.0;1890.0;0.0;1;0.05433733483884595;-1;-0.00017543096813810166;1
297568;2007;3;2100.0;315.0;0.0;0.0;0.0;0.0;1;0.0639611840391926;1;0.0003602653487186913;0
320529;2007;3;0.0;525.0;0.0;0.0;1890.0;0.0;1;0.05433733483884595;-1;-0.00017543096813810166;1
147818;2007;4;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;4;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;4;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;5;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;5;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;5;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;6;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;6;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;6;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;7;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;7;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;7;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;8;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;8;2280.0;342.0;0.0;0.0;0.0;73.72;-1;-0.0702162336359724;-1;-0.24495374361316946;2
320529;2007;8;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;9;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;9;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;9;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;10;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;10;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;10;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;11;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;11;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;11;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2007;12;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2007;12;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2007;12;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2008;1;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2008;1;2280.0;342.0;0.0;0.0;0.0;0.0;1;0.14030566972221709;1;0.06593641190280675;0
320529;2008;1;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2008;2;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
297568;2008;2;2280.0;342.0;874.0;0.0;0.0;0.0;-1;-0.023643885915433982;-1;-0.39830562469606123;2
320529;2008;2;0.0;570.0;0.0;0.0;2052.0;0.0;1;0.18467180419073487;1;0.07595283371742267;0
147818;2008;3;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;3;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.13262565421409894;1;0.13220318526634456;0
320529;2008;3;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;4;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;4;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.13262565421409894;1;0.13220318526634456;0
320529;2008;4;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;5;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;5;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.13262565421409894;1;0.13220318526634456;0
320529;2008;5;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;6;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;6;2490.0;373.5;0.0;0.0;0.0;0.0;1;0.13262565421409894;1;0.13220318526634456;0
320529;2008;6;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;7;2642.64;396.4;0.0;0.0;0.0;0.0;1;0.15695869840543408;1;0.1730338404902625;0
320529;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
297568;2008;8;2642.64;396.4;0.0;0.0;0.0;77.16;-1;-0.04027331366202247;-1;-0.0003114987571475325;2
320529;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
147818;2008;9;0.0;622.5;0.0;0.0;2241.0;0.0;1;0.19030359900686294;1;0.157313138339497;0
