isn_vinculo;num_ano;num_mes;8;15;21;54;86;91;97;102;185;199;204;207;312;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
131976;2007;3;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1923633745947808;1;0.042071264982401546;0
305874;2007;3;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14854001954812257;1;0.08888069923009867;0
131976;2007;4;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1923633745947808;1;0.042071264982401546;0
305874;2007;4;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14737609567635712;1;0.07017422708008991;0
131976;2007;5;1898.21;189.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1923633745947808;1;0.042071264982401546;0
305874;2007;5;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;94.2;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14854001954812257;1;0.08888069923009867;0
131976;2007;6;1898.21;189.82;0.0;0.0;0.0;0.0;17.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.11849655893513739;1;1.2447369244883433e-05;0
305874;2007;6;1104.24;165.64;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.14737609567635712;1;0.07017422708008991;0
131976;2007;7;1965.6;196.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20443640759143622;1;0.03357551370128076;0
305874;2007;7;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;103.62;0.0;0.0;0.0;0.0;0.0;0.0;1;0.16647750783573373;1;0.07143674889740659;0
131976;2007;8;1965.6;196.56;0.0;0.0;0.0;0.0;65.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-0.005422179680197758;-1;-0.00031956637420538225;2
305874;2007;8;1143.44;171.52;0.0;0.0;0.0;0.0;0.0;0.0;89.49;0.0;0.0;0.0;0.0;0.0;0.0;1;0.156515935962117;1;0.09810133120225306;0
