isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
11372;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21618279193221052;1;0.32914162568737027;0
18789;2007;3;0.0;0.0;0.0;0.0;0.0;849.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.228493008002763;1;1.3670196209346201;0
19014;2007;3;0.0;0.0;0.0;0.0;0.0;2411.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20609091759408704;1;2.6726116477909088;0
56077;2007;3;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05690056753684547;1;3.908966468500161;0
56079;2007;3;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05690056753684547;1;3.908966468500161;0
75818;2007;3;0.0;0.0;0.0;0.0;0.0;510.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22107248205854108;1;0.4980092137618968;0
140919;2007;3;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12643836336202297;1;3.028748956492784;0
172770;2007;3;0.0;0.0;0.0;0.0;0.0;2945.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19500009307616284;1;2.3629737629790597;0
172878;2007;3;0.0;0.0;0.0;0.0;0.0;2638.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20289377178770923;1;2.573410234416947;0
172929;2007;3;0.0;0.0;0.0;0.0;0.0;1853.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21331597531028668;1;2.653498980762727;0
173195;2007;3;0.0;0.0;0.0;0.0;0.0;1331.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2222578225975705;1;2.211765388954497;0
173229;2007;3;0.0;0.0;0.0;0.0;0.0;590.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22541979295691122;1;0.7231321018021148;0
173263;2007;3;0.0;0.0;0.0;0.0;0.0;715.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22851619016096097;1;1.0505074898763453;0
173268;2007;3;0.0;0.0;0.0;0.0;0.0;491.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21899829588658387;1;0.44247703471749134;0
173303;2007;3;0.0;0.0;0.0;0.0;0.0;567.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22420263682966063;1;0.6601366843702081;0
173507;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21618279193221052;1;0.32914162568737027;0
174013;2007;3;0.0;0.0;0.0;0.0;0.0;704.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2291721539446076;1;1.0237339099175173;0
174165;2007;3;0.0;0.0;0.0;0.0;0.0;3585.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15961593520461842;1;1.741204860431857;0
174256;2007;3;0.0;0.0;0.0;0.0;0.0;863.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22834811468514632;1;1.3988049716546485;0
174275;2007;3;0.0;0.0;0.0;0.0;0.0;1060.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22705199117719294;1;1.792464716112228;0
174301;2007;3;0.0;0.0;0.0;0.0;0.0;548.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22289759465937226;1;0.6068379393116388;0
174304;2007;3;0.0;0.0;0.0;0.0;0.0;1711.61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2137208939170286;1;2.5778225408280875;0
174305;2007;3;0.0;0.0;0.0;0.0;0.0;1711.61;0.0;200.0;0.0;0.0;0.0;0.0;0.0;-1;-0.13168837060435334;-1;-17.645398332129346;2
174494;2007;3;0.0;0.0;0.0;0.0;0.0;1810.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21343328408238427;1;2.633558546813667;0
174528;2007;3;0.0;0.0;0.0;0.0;0.0;473.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21833645497129922;1;0.3861982716610868;0
176708;2007;3;0.0;0.0;0.0;0.0;0.0;1414.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21590036584400468;1;2.31283856691136;0
296972;2007;3;0.0;0.0;0.0;0.0;0.0;552.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22289759465937226;1;0.6174326500285972;0
296985;2007;3;0.0;0.0;0.0;0.0;0.0;796.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.23063914613362674;1;1.2453940757804034;0
296993;2007;3;0.0;0.0;0.0;0.0;0.0;670.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22862202281547672;1;0.9363005488830893;0
297094;2007;3;0.0;0.0;0.0;0.0;0.0;445.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21474067382239004;1;0.3022099993168794;0
297204;2007;3;0.0;0.0;0.0;0.0;0.0;501.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2206124987451859;1;0.4701309227736985;0
297441;2007;3;0.0;0.0;0.0;0.0;0.0;626.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22864969337050817;1;0.8200576119856535;0
297611;2007;3;0.0;0.0;0.0;0.0;0.0;300.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18736213594569745;-1;-0.1621973812477222;1
305833;2007;3;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12643836336202297;1;3.028748956492784;0
305835;2007;3;0.0;0.0;0.0;20.57;0.0;395.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12642481149273133;1;1.9207095221584964;0
305853;2007;3;0.0;0.0;0.0;0.0;0.0;1570.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2121091548360562;1;2.4701442593557275;0
305854;2007;3;0.0;0.0;0.0;0.0;0.0;318.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.18895376249852153;-1;-0.10318057524683866;1
305866;2007;3;0.0;0.0;0.0;0.0;0.0;1675.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21175165776792404;1;2.5531997996614777;0
320559;2007;3;0.0;0.0;0.0;0.0;0.0;4330.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.1532104428497616;1;0.929360257978253;0
331567;2007;3;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12643836336202297;1;3.028748956492784;0
331597;2007;3;0.0;0.0;0.0;0.0;0.0;6673.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.07368906161788591;1;0.19721374536047875;0
11372;2007;4;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21618279193221052;1;0.32914162568737027;0
18789;2007;4;0.0;0.0;0.0;0.0;0.0;849.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.228493008002763;1;1.3670196209346201;0
19014;2007;4;0.0;0.0;0.0;0.0;0.0;2411.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20609091759408704;1;2.6726116477909088;0
56077;2007;4;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05690056753684547;1;3.908966468500161;0
56079;2007;4;0.0;0.0;0.0;75.55;0.0;132.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.05690056753684547;1;3.908966468500161;0
75818;2007;4;0.0;0.0;0.0;0.0;0.0;510.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22107248205854108;1;0.4980092137618968;0
140919;2007;4;0.0;0.0;0.0;37.58;0.0;378.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.12643836336202297;1;3.028748956492784;0
172770;2007;4;0.0;0.0;0.0;0.0;0.0;2945.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.19500009307616284;1;2.3629737629790597;0
172878;2007;4;0.0;0.0;0.0;0.0;0.0;2638.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.20289377178770923;1;2.573410234416947;0
172929;2007;4;0.0;0.0;0.0;0.0;0.0;1853.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21331597531028668;1;2.653498980762727;0
173195;2007;4;0.0;0.0;0.0;0.0;0.0;1331.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.2222578225975705;1;2.211765388954497;0
173229;2007;4;0.0;0.0;0.0;0.0;0.0;590.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22541979295691122;1;0.7231321018021148;0
173263;2007;4;0.0;0.0;0.0;0.0;0.0;715.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22851619016096097;1;1.0505074898763453;0
173268;2007;4;0.0;0.0;0.0;0.0;0.0;491.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.21899829588658387;1;0.44247703471749134;0
173303;2007;4;0.0;0.0;0.0;0.0;0.0;567.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.22420263682966063;1;0.6601366843702081;0
