isn_vinculo;num_ano;num_mes;100;106;IF_label;IF_score;OCSVM_label;OCSVM_score;anomalo
12898;2007;3;0.0;406.54;1;0.14629618751507234;1;2.341711239817691;0
20321;2007;3;0.0;95.21;1;0.09499150791922456;1;0.23135866871902522;0
73309;2007;3;0.0;312.14;1;0.1759247414483639;1;2.0088556293607525;0
127853;2007;3;681.78;681.78;-1;-0.2139675010188461;-1;-25.02709538571001;2
141000;2007;3;0.0;112.58;1;0.12737973096885113;1;0.43028051929189814;0
167040;2007;3;0.0;2865.69;-1;-0.12384695941849577;-1;-1.5457893220673355;2
167243;2007;3;0.0;3838.32;-1;-0.2016620079934348;-1;-14.54025509646009;2
167321;2007;3;0.0;673.05;1;0.09133564832317109;1;2.228650274678685;0
172915;2007;3;0.0;286.14;1;0.17174031973286624;1;1.8735242971054191;0
173352;2007;3;0.0;285.67;1;0.17132211586556362;1;1.8708947245324694;0
175041;2007;3;0.0;65.27;1;0.019474396443683428;-1;-0.13551834522001371;1
175043;2007;3;0.0;178.51;1;0.15204227287911798;1;1.0932764585645955;0
175502;2007;3;0.0;226.91;1;0.16628872158939345;1;1.4892302381268934;0
175970;2007;3;0.0;134.94;1;0.14560299171392793;1;0.6713784842238297;0
177065;2007;3;0.0;443.98;1;0.13563715954114697;1;2.410422126296062;0
177356;2007;3;0.0;306.48;1;0.17357643478440377;1;1.9810759249984216;0
218731;2007;3;0.0;286.69;1;0.1722691933480271;1;1.8765931111736691;0
264732;2007;3;0.0;126.14;1;0.13659584900384203;1;0.5784962014637216;0
296900;2007;3;0.0;1704.47;1;0.04392051105634298;1;0.03851749085562517;0
296979;2007;3;0.0;142.81;1;0.15402716487137996;1;0.7522495870271513;0
296999;2007;3;0.0;290.92;1;0.17623766142190267;1;1.8998949172459305;0
305944;2007;3;0.0;684.62;1;0.10006847887728715;1;2.1987960856191506;0
312118;2007;3;0.0;235.47;1;0.167918272573775;1;1.5514763463384043;0
312125;2007;3;0.0;281.13;1;0.16979453486698803;1;1.8451550887758401;0
320454;2007;3;0.0;206.18;1;0.17097549226658343;1;1.328865805796319;0
331355;2007;3;0.0;1110.0;1;0.07436543557503045;1;0.7250594114284041;0
331390;2007;3;0.0;136.0;1;0.14678579496356908;1;0.6823915342476496;0
331429;2007;3;0.0;673.05;1;0.09133564832317109;1;2.228650274678685;0
12898;2007;4;0.0;406.54;1;0.14629618751507234;1;2.341711239817691;0
20321;2007;4;0.0;95.21;1;0.09499150791922456;1;0.23135866871902522;0
73309;2007;4;0.0;312.14;1;0.1759247414483639;1;2.0088556293607525;0
127853;2007;4;0.0;681.78;1;0.09822403459407059;1;2.206256099831819;0
141000;2007;4;0.0;112.58;1;0.12737973096885113;1;0.43028051929189814;0
167040;2007;4;0.0;2865.69;-1;-0.12384695941849577;-1;-1.5457893220673355;2
