isn_vinculo;num_ano;num_mes;8;15;54;97;207;324;8_yoy;15_yoy;54_yoy;97_yoy;207_yoy;324_yoy;IF_label;IF_score;anomalo
147818;2007;3;0.0;525.0;0.0;0.0;1890.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;4;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;5;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;6;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;7;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;8;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;9;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;10;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;11;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2007;12;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;1;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;2;0.0;570.0;0.0;0.0;2052.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;3;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;4;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;5;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;6;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;7;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;8;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;9;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;10;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;11;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2008;12;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;1;0.0;622.5;0.0;0.0;2241.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;2;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;3;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;4;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;5;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;6;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;7;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;8;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;9;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;10;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;11;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2009;12;0.0;697.5;0.0;0.0;2511.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2010;1;0.0;765.0;0.0;0.0;2754.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2010;2;0.0;765.0;0.0;0.0;2754.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
147818;2010;3;0.0;765.0;0.0;0.0;2754.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;3;2100.0;315.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;4;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;5;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;6;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;7;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;8;2280.0;342.0;0.0;0.0;0.0;73.72;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;9;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;10;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;11;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2007;12;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;1;2280.0;342.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;2;2280.0;342.0;874.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;3;2490.0;373.5;0.0;0.0;0.0;0.0;1.0921052631578947;1.0921052631578947;1.0;1.0;1.0;1.0;1;0.16498102202118636;0
297568;2008;4;2490.0;373.5;0.0;0.0;0.0;0.0;0.9422395786032151;0.9422300706357215;0.0;1.0;1.0;1.0;-1;-0.11695267792727504;1
297568;2008;5;2490.0;373.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;6;2490.0;373.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;7;2642.64;396.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;8;2642.64;396.4;0.0;0.0;0.0;77.16;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;9;2642.64;396.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;10;2642.64;396.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;11;2642.64;396.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2008;12;2642.64;396.4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;1;2642.64;396.4;1013.01;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;2;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;3;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;4;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;5;2790.0;418.5;0.0;0.0;0.0;0.0;1.2236842105263157;1.2236842105263157;0.0;1.0;1.0;1.0;-1;-0.12540893140017495;1
297568;2009;6;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;7;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;8;2790.0;418.5;0.0;0.0;0.0;80.62;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;9;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;10;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;11;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2009;12;2790.0;418.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;1;3060.0;459.0;1173.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;2;3060.0;459.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;3;3060.0;459.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;4;3060.0;459.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;5;3060.0;459.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;6;3060.0;459.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;7;3208.1;481.22;0.0;0.0;0.0;0.0;1.5276666666666667;1.5276825396825398;1.0;1.0;1.0;1.0;1;0.06743466432358125;0
297568;2010;8;3208.1;481.22;0.0;0.0;0.0;83.32;1.2883935742971888;1.2884069611780455;1.0;1.0;1.0;1.0;1;0.1078645930772753;0
297568;2010;9;3208.1;481.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;10;3208.1;481.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;11;3208.1;481.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2010;12;3208.1;481.22;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;1;3240.0;486.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;2;3240.0;486.0;1242.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;3;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;4;3270.0;490.5;0.0;15.69;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;5;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;6;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;7;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;8;3270.0;490.5;0.0;0.0;0.0;85.34;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;9;3270.0;490.5;0.0;0.0;0.0;0.0;1.4342105263157894;1.4342105263157894;1.0;1.0;1.0;1.0;1;0.08694933617748646;0
297568;2011;10;3270.0;490.5;0.0;0.0;0.0;0.0;1.3132530120481927;1.3132530120481927;1.0;1.0;1.0;1.0;1;0.10388719985525607;0
297568;2011;11;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2011;12;3270.0;490.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;1;3732.0;559.8;1430.6;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;2;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;3;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;4;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;5;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;6;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;7;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;8;3732.0;559.8;0.0;0.0;0.0;86.36;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;9;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;10;3732.0;559.8;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2012;11;3732.0;559.8;0.0;0.0;0.0;0.0;1.6368421052631579;1.6368421052631577;1.0;1.0;1.0;1.0;1;0.04439107465427694;0
297568;2012;12;3732.0;559.8;0.0;0.0;0.0;0.0;1.4987951807228916;1.4987951807228914;1.0;1.0;1.0;1.0;1;0.07282724124949014;0
297568;2013;1;4068.0;610.2;1559.4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;2;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;3;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;4;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;5;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;6;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;7;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;8;4068.0;610.2;0.0;0.0;0.0;77.26;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;9;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;10;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;11;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2013;12;4068.0;610.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;1;4344.0;651.6;1665.2;0.0;0.0;0.0;1.9052631578947368;1.905263157894737;1.0;1.0;1.0;1.0;-1;-0.007703137669423432;1
297568;2014;2;4344.0;651.6;0.0;0.0;0.0;0.0;1.7445783132530122;1.7445783132530122;1.0;1.0;1.0;1.0;1;0.02655821503383149;0
297568;2014;3;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;4;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;5;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;6;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;7;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;8;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;9;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;10;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;11;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2014;12;4344.0;651.6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;1;4728.0;709.2;1812.4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;2;4728.0;709.2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;3;4728.0;709.2;0.0;0.0;0.0;0.0;2.0736842105263156;2.073684210526316;1.0;1.0;1.0;1.0;-1;-0.052163648647457816;1
297568;2015;4;4728.0;709.2;0.0;0.0;0.0;0.0;1.789119970938153;1.789101917255298;1.0;1.0;1.0;1.0;1;0.01763826967126192;0
297568;2015;5;0.0;709.2;0.0;375.93;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;6;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;7;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;8;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;9;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
297568;2015;10;0.0;709.2;0.0;0.0;4728.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.27545100249173;0
