isn_vinculo;num_ano;num_mes;97;102;140;160;161;302;303;305;316;317;1249;1367;1369;97_yoy;102_yoy;140_yoy;160_yoy;161_yoy;302_yoy;303_yoy;305_yoy;316_yoy;317_yoy;1249_yoy;1367_yoy;1369_yoy;IF_label;IF_score;anomalo
11372;2007;3;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;4;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;5;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;6;0.0;0.0;0.0;0.0;0.0;454.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;7;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;8;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;9;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;10;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;11;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2007;12;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;1;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;2;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;3;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;4;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;5;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;6;0.0;0.0;0.0;0.0;0.0;470.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;7;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;8;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;9;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;10;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;11;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2008;12;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
11372;2009;1;0.0;0.0;0.0;0.96;0.0;499.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.23674680490614186;0
