isn_vinculo,cod_cargo,num_ano,num_mes,94,97,101,140,204,302,303,316,317,1236,1367,1369
18427,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12005909153665609,0.0,0.0,0.0,0.0
297006,V010,2008,7,0.0,0.0,0.0,0.0,0.0,0.5536760310818889,0.0,0.0,0.0,0.0,0.0,0.0
144752,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085268535137375,0.0,0.0,0.0,0.0
297612,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.1030831228428745,0.0,0.0,0.0,0.0,0.0,0.0
167298,V010,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516112108242442,0.0,0.0,0.0,0.0
320503,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11475907773022229,0.0,0.0,0.0,0.0
297006,V010,2008,5,0.0,0.0,0.0,0.0,0.0,0.5224572431213004,0.0,0.0,0.0,0.0,0.0,0.0
140996,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14262156564959272,0.0,0.0,0.0,0.0
297006,V010,2008,1,0.0,0.0,0.0,0.0,0.0,0.5224572431213004,0.0,0.0,0.0,0.0,0.0,0.0
296991,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.34940323544723606,0.0,0.0,0.0,0.0,0.0,0.0
131980,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11135993372911777,0.0,0.0,0.0,0.0
18427,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216843849233743,0.0,0.0,0.0,0.0
297083,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.5384108131037542,0.0,0.0,0.0,0.0,0.0,0.0
130706,V010,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24204997929034933,0.0,0.0,0.0,0.0
130706,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24204997929034933,0.0,0.0,0.0,0.0
130920,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11570785586083115,0.0,0.0,0.0,0.0
131980,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11033052602512772,0.0,0.0,0.0,0.0
296991,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.34940323544723606,0.0,0.0,0.0,0.0,0.0,0.0
144751,V010,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10043020847715035,0.0,0.0,0.0,0.0
296906,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12214496755488058,0.0,0.0,0.0,0.0
140996,V010,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13978682866215658,0.0,0.0,0.0,0.0
18427,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216843849233743,0.0,0.0,0.0,0.0
296991,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.32997898309006424,0.0,0.0,0.0,0.0,0.0,0.0
167298,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516112108242442,0.0,0.0,0.0,0.0
144750,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10816236366146625,0.0,0.0,0.0,0.0
140996,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13978682866215658,0.0,0.0,0.0,0.0
297083,V010,2008,4,0.0,0.0,0.0,0.0,0.0,0.5080712646780943,0.0,0.0,0.0,0.0,0.0,0.0
296991,V010,2008,7,0.0,0.0,0.0,0.0,0.0,0.34940323544723606,0.0,0.0,0.0,0.0,0.0,0.0
320503,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11605964379400802,0.0,0.0,0.0,0.0
144751,V010,2008,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10043020847715035,0.0,0.0,0.0,0.0
144752,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10043020847715035,0.0,0.0,0.0,0.0
140985,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3353345298909292,0.0,0.0,0.0,0.0
18427,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216843849233743,0.0,0.0,0.0,0.0
297083,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.5384108131037542,0.0,0.0,0.0,0.0,0.0,0.0
297083,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.5384108131037542,0.0,0.0,0.0,0.0,0.0,0.0
144752,V010,2008,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10043020847715035,0.0,0.0,0.0,0.0
297083,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.5080712646780943,0.0,0.0,0.0,0.0,0.0,0.0
144752,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10043020847715035,0.0,0.0,0.0,0.0
144751,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085268535137375,0.0,0.0,0.0,0.0
167298,V010,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391246720971973,0.0,0.0,0.0,0.0
167244,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2255501863868563,0.0,0.0,0.0,0.0
297612,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.1085957233480516,0.0,0.0,0.0,0.0,0.0,0.0
167298,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391246720971973,0.0,0.0,0.0,0.0
320503,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11605964379400802,0.0,0.0,0.0,0.0
167298,V010,2008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391246720971973,0.0,0.0,0.0,0.0
296906,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12214496755488058,0.0,0.0,0.0,0.0
297612,V010,2009,11,0.0,0.0,0.0,0.0,0.0,0.11432234926633632,0.0,0.0,0.0,0.0,0.0,0.0
