isn_vinculo,cod_cargo,num_ano,num_mes,94,97,101,140,204,302,303,316,317,1236,1367,1369
131980,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092743782736764,0.0,0.0,0.0,0.0
131686,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13799859603161194,0.0,0.0,0.0,0.0
144752,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10098504233678868,0.0,0.0,0.0,0.0
167224,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12339906669198222,0.0,0.0,0.0,0.0
297612,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.10809676892061246,0.0,0.0,0.0,0.0,0.0,0.0
140996,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14050849435712706,0.0,0.0,0.0,0.0
144750,V010,2008,5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.10710275620245711,0.0,0.0,0.0,0.0
144750,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10790176401834566,0.0,0.0,0.0,0.0
144752,V010,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10058527714440495,0.0,0.0,0.0,0.0
130920,V010,2008,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11383030794984036,0.0,0.0,0.0,0.0
18687,V010,2008,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1337490659081289,0.0,0.0,0.0,0.0
144752,V010,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10098504233678868,0.0,0.0,0.0,0.0
297006,V010,2008,6,0.0,0.0,0.0,0.0,0.0,0.4979349425162099,0.0,0.0,0.0,0.0,0.0,0.0
297083,V010,2008,5,0.0,0.0,0.0,0.0,0.0,0.4843840244101782,0.0,0.0,0.0,0.0,0.0,0.0
18427,V010,2008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11915894280832,0.0,0.0,0.0,0.0
131980,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092743782736764,0.0,0.0,0.0,0.0
130706,V010,2008,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345917953202215,0.0,0.0,0.0,0.0
18427,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12069686301901977,0.0,0.0,0.0,0.0
144751,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10098504233678868,0.0,0.0,0.0,0.0
131980,V010,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092743782736764,0.0,0.0,0.0,0.0
140985,V010,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3228615175051865,0.0,0.0,0.0,0.0
14097,V010,2008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19158019603300547,0.0,0.0,0.0,0.0
131686,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13799859603161194,0.0,0.0,0.0,0.0
144751,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10098504233678868,0.0,0.0,0.0,0.0
167224,V010,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12519722620439064,0.0,0.0,0.0,0.0
167224,V010,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12519722620439064,0.0,0.0,0.0,0.0
131980,V010,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11092743782736764,0.0,0.0,0.0,0.0
167244,V010,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21897900492434075,0.0,0.0,0.0,0.0
